             JOBID            PARTITION     NAME     USER ST       TIME  NODES     NODELIST(REASON)
           4190780      zen2_0256_a40x2     jbms buhlhell CG      26:57      1            n3066-007
           4233809      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233810      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233811      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233812      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233813      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233814      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233815      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233816      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233807      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233808      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233806      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233797      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1         (QOSGrpGRES)
           4233798      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233799      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233800      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233801      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233802      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233803      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233804      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233805      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233842      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233841      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233840      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233839      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233838      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
           4233837      zen2_0256_a40x2 reflow_v  davidm2 PD       0:00      1           (Priority)
